row	genotype	experiment	sublock	Block	Type
1001	BGEM-0312-S	HN	sb1	BK1	Inbred
1002	BGEM-0245-S	HN	sb1	BK1	Inbred
1003	BGEM-0292-S	HN	sb1	BK1	Inbred
1004	BGEM-0075-S	HN	sb1	BK1	Inbred
1005	BGEM-0204-N	HN	sb1	BK1	Inbred
1006	BGEM-0015-S	HN	sb1	BK1	Inbred
1007	BGEM-0166-S	HN	sb1	BK1	Inbred
1008	B73	HN	sb1	BK1	Inbred
1009	BGEM-0237-N	HN	sb1	BK1	Inbred
1010	BGEM-0152-N	HN	sb1	BK1	Inbred
1011	BGEM-0103-N	HN	sb1	BK1	Inbred
1012	BGEM-0308-S	HN	sb1	BK1	Inbred
1013	BGEM-0231-N	HN	sb1	BK1	Inbred
1014	BGEM-0210-N	HN	sb1	BK1	Inbred
1015	BGEM-0065-N	HN	sb1	BK1	Inbred
1016	MO17	HN	sb1	BK1	Inbred
1017	BGEM-0178-S	HN	sb1	BK1	Inbred
1018	BGEM-0106-N	HN	sb1	BK1	Inbred
1019	BGEM-0069-S	HN	sb1	BK1	Inbred
1020	BGEM-0043-S	HN	sb1	BK1	Inbred
1021	BGEM-0239-N	HN	sb1	BK1	Inbred
1022	BGEM-0325-N	HN	sb1	BK1	Inbred
1023	BGEM-0290-N	HN	sb1	BK1	Inbred
1024	B73	HN	sb1	BK1	Inbred
1025	BGEM-0165-S	HN	sb1	BK1	Inbred
1026	BGEM-0318-S	HN	sb3	BK1	Inbred
1027	BGEM-0321-S	HN	sb3	BK1	Inbred
1028	BGEM-0008-S	HN	sb3	BK1	Inbred
1029	BGEM-0113-S	HN	sb3	BK1	Inbred
1030	BGEM-0140-N	HN	sb3	BK1	Inbred
1031	BGEM-0221-S	HN	sb3	BK1	Inbred
1032	BGEM-0047-S	HN	sb3	BK1	Inbred
1033	MO17	HN	sb3	BK1	Inbred
1034	BGEM-0136-S	HN	sb3	BK1	Inbred
1035	BGEM-0244-S	HN	sb3	BK1	Inbred
1036	BGEM-0020-S	HN	sb3	BK1	Inbred
1037	BGEM-0118-S	HN	sb3	BK1	Inbred
1038	BGEM-0032-S	HN	sb3	BK1	Inbred
1039	BGEM-0039-N	HN	sb3	BK1	Inbred
1040	BGEM-0080-S	HN	sb3	BK1	Inbred
1041	B73	HN	sb3	BK1	Inbred
1042	BGEM-0179-S	HN	sb3	BK1	Inbred
1043	BGEM-0214-S	HN	sb3	BK1	Inbred
1044	BGEM-0109-N	HN	sb3	BK1	Inbred
1045	BGEM-0082-S	HN	sb3	BK1	Inbred
1046	BGEM-0114-S	HN	sb3	BK1	Inbred
1047	BGEM-0222-S	HN	sb3	BK1	Inbred
1048	BGEM-0079-S	HN	sb3	BK1	Inbred
1049	MO17	HN	sb3	BK1	Inbred
1050	BGEM-0099-S	HN	sb3	BK1	Inbred
1051	BGEM-0160-S	HN	sb1	BK1	Inbred
1052	BGEM-0172-S	HN	sb1	BK1	Inbred
1053	BGEM-0192-N	HN	sb1	BK1	Inbred
1054	BGEM-0211-N	HN	sb1	BK1	Inbred
1055	BGEM-0014-S	HN	sb1	BK1	Inbred
1056	BGEM-0235-N	HN	sb1	BK1	Inbred
1057	B73	HN	sb1	BK1	Inbred
1058	BGEM-0250-S	HN	sb1	BK1	Inbred
1059	BGEM-0183-N	HN	sb1	BK1	Inbred
1060	BGEM-0213-S	HN	sb1	BK1	Inbred
1061	BGEM-0056-S	HN	sb1	BK1	Inbred
1062	BGEM-0294-N	HN	sb1	BK1	Inbred
1063	BGEM-0196-N	HN	sb1	BK1	Inbred
1064	BGEM-0051-S	HN	sb1	BK1	Inbred
1065	MO17	HN	sb1	BK1	Inbred
1066	BGEM-0188-S	HN	sb1	BK1	Inbred
1067	BGEM-0011-S	HN	sb1	BK1	Inbred
1068	BGEM-0038-N	HN	sb1	BK1	Inbred
1069	BGEM-0307-S	HN	sb1	BK1	Inbred
1070	BGEM-0252-S	HN	sb1	BK1	Inbred
1071	BGEM-0134-S	HN	sb1	BK1	Inbred
1072	BGEM-0293-N	HN	sb1	BK1	Inbred
1073	B73	HN	sb1	BK1	Inbred
1074	BGEM-0328-S	HN	sb1	BK1	Inbred
1075	BGEM-0027-S	HN	sb1	BK1	Inbred
1076	BGEM-0314-S	HN	sb3	BK1	Inbred
1077	BGEM-0068-S	HN	sb3	BK1	Inbred
1078	BGEM-0010-S	HN	sb3	BK1	Inbred
1079	BGEM-0255-S	HN	sb3	BK1	Inbred
1080	BGEM-0266-S	HN	sb3	BK1	Inbred
1081	BGEM-0298-S	HN	sb3	BK1	Inbred
1082	MO17	HN	sb3	BK1	Inbred
1083	BGEM-0203-N	HN	sb3	BK1	Inbred
1084	BGEM-0184-N	HN	sb3	BK1	Inbred
1085	BGEM-0123-N	HN	sb3	BK1	Inbred
1086	BGEM-0037-S	HN	sb3	BK1	Inbred
1087	BGEM-0117-S	HN	sb3	BK1	Inbred
1088	BGEM-0077-S	HN	sb3	BK1	Inbred
1089	BGEM-0085-N	HN	sb3	BK1	Inbred
1090	B73	HN	sb3	BK1	Inbred
1091	BGEM-0326-N	HN	sb3	BK1	Inbred
1092	BGEM-0320-N	HN	sb3	BK1	Inbred
1093	BGEM-0024-S	HN	sb3	BK1	Inbred
1094	BGEM-0013-S	HN	sb3	BK1	Inbred
1095	BGEM-0194-N	HN	sb3	BK1	Inbred
1096	BGEM-0012-S	HN	sb3	BK1	Inbred
1097	BGEM-0023-S	HN	sb3	BK1	Inbred
1098	MO17	HN	sb3	BK1	Inbred
1099	BGEM-0112-S	HN	sb3	BK1	Inbred
1100	BGEM-0197-S	HN	sb3	BK1	Inbred
1101	BGEM-0193-N	HN	sb1	BK1	Inbred
1102	BGEM-0070-S	HN	sb1	BK1	Inbred
1103	BGEM-0158-S	HN	sb1	BK1	Inbred
1104	BGEM-0264-S	HN	sb1	BK1	Inbred
1105	BGEM-0309-S	HN	sb1	BK1	Inbred
1106	B73	HN	sb1	BK1	Inbred
1107	BGEM-0060-S	HN	sb1	BK1	Inbred
1108	BGEM-0155-S	HN	sb1	BK1	Inbred
1109	BGEM-0052-S	HN	sb1	BK1	Inbred
1110	BGEM-0131-N	HN	sb1	BK1	Inbred
1111	BGEM-0003-N	HN	sb1	BK1	Inbred
1112	BGEM-0324-N	HN	sb1	BK1	Inbred
1113	BGEM-0175-S	HN	sb1	BK1	Inbred
1114	MO17	HN	sb1	BK1	Inbred
1115	BGEM-0233-S	HN	sb1	BK1	Inbred
1116	BGEM-0124-N	HN	sb1	BK1	Inbred
1117	BGEM-0223-N	HN	sb1	BK1	Inbred
1118	BGEM-0061-N	HN	sb1	BK1	Inbred
1119	BGEM-0087-N	HN	sb1	BK1	Inbred
1120	BGEM-0238-N	HN	sb1	BK1	Inbred
1121	BGEM-0257-S	HN	sb1	BK1	Inbred
1122	B73	HN	sb1	BK1	Inbred
1123	BGEM-0240-N	HN	sb1	BK1	Inbred
1124	BGEM-0168-S	HN	sb1	BK1	Inbred
1125	BGEM-0033-S	HN	sb1	BK1	Inbred
1126	BGEM-0154-S	HN	sb3	BK1	Inbred
1127	BGEM-0180-S	HN	sb3	BK1	Inbred
1128	BGEM-0137-S	HN	sb3	BK1	Inbred
1129	BGEM-0030-S	HN	sb3	BK1	Inbred
1130	BGEM-0327-N	HN	sb3	BK1	Inbred
1131	MO17	HN	sb3	BK1	Inbred
1132	BGEM-0111-S	HN	sb3	BK1	Inbred
1133	BGEM-0050-S	HN	sb3	BK1	Inbred
1134	BGEM-0040-N	HN	sb3	BK1	Inbred
1135	BGEM-0129-N	HN	sb3	BK1	Inbred
1136	BGEM-0219-S	HN	sb3	BK1	Inbred
1137	BGEM-0066-N	HN	sb3	BK1	Inbred
1138	BGEM-0253-N	HN	sb3	BK1	Inbred
1139	B73	HN	sb3	BK1	Inbred
1140	BGEM-0094-S	HN	sb3	BK1	Inbred
1141	BGEM-0286-N	HN	sb3	BK1	Inbred
1142	BGEM-0055-S	HN	sb3	BK1	Inbred
1143	BGEM-0276-S	HN	sb3	BK1	Inbred
1144	BGEM-0310-S	HN	sb3	BK1	Inbred
1145	BGEM-0167-S	HN	sb3	BK1	Inbred
1146	BGEM-0227-N	HN	sb3	BK1	Inbred
1147	MO17	HN	sb3	BK1	Inbred
1148	BGEM-0095-S	HN	sb3	BK1	Inbred
1149	BGEM-0229-N	HN	sb3	BK1	Inbred
1150	BGEM-0319-S	HN	sb3	BK1	Inbred
1151	BGEM-0284-N	HN	sb1	BK1	Inbred
1152	BGEM-0121-N	HN	sb1	BK1	Inbred
1153	BGEM-0019-S	HN	sb1	BK1	Inbred
1154	BGEM-0072-S	HN	sb1	BK1	Inbred
1155	B73	HN	sb1	BK1	Inbred
1156	BGEM-0159-S	HN	sb1	BK1	Inbred
1157	BGEM-0208-N	HN	sb1	BK1	Inbred
1158	BGEM-0021-S	HN	sb1	BK1	Inbred
1159	BGEM-0064-N	HN	sb1	BK1	Inbred
1160	BGEM-0277-S	HN	sb1	BK1	Inbred
1161	BGEM-0057-S	HN	sb1	BK1	Inbred
1162	MO17	HN	sb1	BK1	Inbred
1163	B73	HN	sb2	BK1	Inbred
1164	BGEM-0144-N	HN	sb2	BK1	Inbred
1165	BGEM-0236-S	HN	sb2	BK1	Inbred
1166	BGEM-0171-S	HN	sb2	BK1	Inbred
1167	BGEM-0198-S	HN	sb2	BK1	Inbred
1168	BGEM-0049-S	HN	sb2	BK1	Inbred
1169	BGEM-0058-N	HN	sb2	BK1	Inbred
1170	BGEM-0007-S	HN	sb2	BK1	Inbred
1171	MO17	HN	sb2	BK1	Inbred
1172	BGEM-0125-N	HN	sb2	BK1	Inbred
1173	BGEM-0206-N	HN	sb2	BK1	Inbred
1174	BGEM-0092-S	HN	sb2	BK1	Inbred
1175	BGEM-0280-S	HN	sb2	BK1	Inbred
1176	BGEM-0150-S	HN	sb3	BK1	Inbred
1177	BGEM-0202-N	HN	sb3	BK1	Inbred
1178	BGEM-0207-N	HN	sb3	BK1	Inbred
1179	BGEM-0116-S	HN	sb3	BK1	Inbred
1180	B73	HN	sb3	BK1	Inbred
1181	BGEM-0162-S	HN	sb3	BK1	Inbred
1182	BGEM-0282-N	HN	sb3	BK1	Inbred
1183	BGEM-0149-S	HN	sb3	BK1	Inbred
1184	BGEM-0141-N	HN	sb3	BK1	Inbred
1185	BGEM-0115-S	HN	sb3	BK1	Inbred
1186	BGEM-0083-S	HN	sb3	BK1	Inbred
1187	MO17	HN	sb3	BK1	Inbred
1188	BGEM-0242-N	HN	sb4	BK1	Inbred
1189	BGEM-0249-N	HN	sb4	BK1	Inbred
1190	BGEM-0164-S	HN	sb4	BK1	Inbred
1191	BGEM-0262-S	HN	sb4	BK1	Inbred
1192	BGEM-0268-S	HN	sb4	BK1	Inbred
1193	BGEM-0181-N	HN	sb4	BK1	Inbred
1194	BGEM-0120-N	HN	sb4	BK1	Inbred
1195	B73	HN	sb4	BK1	Inbred
1196	BGEM-0228-N	HN	sb4	BK1	Inbred
1197	BGEM-0220-S	HN	sb4	BK1	Inbred
1198	BGEM-0026-S	HN	sb4	BK1	Inbred
1199	BGEM-0259-N	HN	sb4	BK1	Inbred
1200	BGEM-0246-N	HN	sb4	BK1	Inbred
1201	BGEM-0295-S	HN	sb2	BK1	Inbred
1202	BGEM-0148-S	HN	sb2	BK1	Inbred
1203	BGEM-0045-N	HN	sb2	BK1	Inbred
1204	MO17	HN	sb2	BK1	Inbred
1205	BGEM-0300-S	HN	sb2	BK1	Inbred
1206	BGEM-0078-N	HN	sb2	BK1	Inbred
1207	BGEM-0299-N	HN	sb2	BK1	Inbred
1208	BGEM-0302-S	HN	sb2	BK1	Inbred
1209	BGEM-0145-N	HN	sb2	BK1	Inbred
1210	BGEM-0199-S	HN	sb2	BK1	Inbred
1211	BGEM-0122-N	HN	sb2	BK1	Inbred
1212	B73	HN	sb2	BK1	Inbred
1213	BGEM-0054-S	HN	sb2	BK1	Inbred
1214	BGEM-0146-N	HN	sb2	BK1	Inbred
1215	BGEM-0243-S	HN	sb2	BK1	Inbred
1216	BGEM-0130-N	HN	sb2	BK1	Inbred
1217	BGEM-0304-N	HN	sb2	BK1	Inbred
1218	BGEM-0086-N	HN	sb2	BK1	Inbred
1219	BGEM-0283-N	HN	sb2	BK1	Inbred
1220	MO17	HN	sb2	BK1	Inbred
1221	BGEM-0046-N	HN	sb2	BK1	Inbred
1222	BGEM-0138-S	HN	sb2	BK1	Inbred
1223	BGEM-0217-S	HN	sb2	BK1	Inbred
1224	BGEM-0127-N	HN	sb2	BK1	Inbred
1225	BGEM-0182-N	HN	sb2	BK1	Inbred
1226	BGEM-0281-N	HN	sb4	BK1	Inbred
1227	BGEM-0073-S	HN	sb4	BK1	Inbred
1228	B73	HN	sb4	BK1	Inbred
1229	BGEM-0048-S	HN	sb4	BK1	Inbred
1230	BGEM-0230-N	HN	sb4	BK1	Inbred
1231	BGEM-0071-S	HN	sb4	BK1	Inbred
1232	BGEM-0306-S	HN	sb4	BK1	Inbred
1233	BGEM-0035-S	HN	sb4	BK1	Inbred
1234	BGEM-0269-S	HN	sb4	BK1	Inbred
1235	BGEM-0036-S	HN	sb4	BK1	Inbred
1236	MO17	HN	sb4	BK1	Inbred
1237	BGEM-0102-N	HN	sb4	BK1	Inbred
1238	BGEM-0305-S	HN	sb4	BK1	Inbred
1239	BGEM-0089-N	HN	sb4	BK1	Inbred
1240	BGEM-0174-N	HN	sb4	BK1	Inbred
1241	BGEM-0067-S	HN	sb4	BK1	Inbred
1242	BGEM-0288-S	HN	sb4	BK1	Inbred
1243	BGEM-0161-S	HN	sb4	BK1	Inbred
1244	B73	HN	sb4	BK1	Inbred
1245	BGEM-0088-N	HN	sb4	BK1	Inbred
1246	BGEM-0187-S	HN	sb4	BK1	Inbred
1247	BGEM-0170-S	HN	sb4	BK1	Inbred
1248	BGEM-0107-N	HN	sb4	BK1	Inbred
1249	BGEM-0225-N	HN	sb4	BK1	Inbred
1250	BGEM-0226-S	HN	sb4	BK1	Inbred
1251	BGEM-0313-S	HN	sb2	BK1	Inbred
1252	BGEM-0025-S	HN	sb2	BK1	Inbred
1253	MO17	HN	sb2	BK1	Inbred
1254	BGEM-0261-S	HN	sb2	BK1	Inbred
1255	BGEM-0278-S	HN	sb2	BK1	Inbred
1256	BGEM-0062-N	HN	sb2	BK1	Inbred
1257	BGEM-0272-S	HN	sb2	BK1	Inbred
1258	BGEM-0053-S	HN	sb2	BK1	Inbred
1259	BGEM-0091-N	HN	sb2	BK1	Inbred
1260	BGEM-0205-N	HN	sb2	BK1	Inbred
1261	B73	HN	sb2	BK1	Inbred
1262	BGEM-0078-S	HN	sb2	BK1	Inbred
1263	BGEM-0263-S	HN	sb2	BK1	Inbred
1264	BGEM-0041-S	HN	sb2	BK1	Inbred
1265	BGEM-0189-S	HN	sb2	BK1	Inbred
1266	BGEM-0143-N	HN	sb2	BK1	Inbred
1267	BGEM-0156-S	HN	sb2	BK1	Inbred
1268	BGEM-0258-S	HN	sb2	BK1	Inbred
1269	MO17	HN	sb2	BK1	Inbred
1270	BGEM-0315-S	HN	sb2	BK1	Inbred
1271	BGEM-0201-N	HN	sb2	BK1	Inbred
1272	BGEM-0063-N	HN	sb2	BK1	Inbred
1273	BGEM-0110-N	HN	sb2	BK1	Inbred
1274	BGEM-0147-S	HN	sb2	BK1	Inbred
1275	BGEM-0311-N	HN	sb2	BK1	Inbred
1276	BGEM-0169-S	HN	sb4	BK1	Inbred
1277	B73	HN	sb4	BK1	Inbred
1278	BGEM-0191-N	HN	sb4	BK1	Inbred
1279	BGEM-0074-S	HN	sb4	BK1	Inbred
1280	BGEM-0323-S	HN	sb4	BK1	Inbred
1281	BGEM-0029-S	HN	sb4	BK1	Inbred
1282	BGEM-0190-N	HN	sb4	BK1	Inbred
1283	BGEM-0022-S	HN	sb4	BK1	Inbred
1284	BGEM-0028-S	HN	sb4	BK1	Inbred
1285	MO17	HN	sb4	BK1	Inbred
1286	BGEM-0291-N	HN	sb4	BK1	Inbred
1287	BGEM-0296-S	HN	sb4	BK1	Inbred
1288	BGEM-0289-N	HN	sb4	BK1	Inbred
1289	BGEM-0151-N	HN	sb4	BK1	Inbred
1290	BGEM-0084-S	HN	sb4	BK1	Inbred
1291	BGEM-0200-S	HN	sb4	BK1	Inbred
1292	BGEM-0101-S	HN	sb4	BK1	Inbred
1293	B73	HN	sb4	BK1	Inbred
1294	BGEM-0303-N	HN	sb4	BK1	Inbred
1295	BGEM-0224-N	HN	sb4	BK1	Inbred
1296	BGEM-0270-S	HN	sb4	BK1	Inbred
1297	BGEM-0279-S	HN	sb4	BK1	Inbred
1298	BGEM-0004-N	HN	sb4	BK1	Inbred
1299	BGEM-0260-N	HN	sb4	BK1	Inbred
1300	BGEM-0256-N	HN	sb4	BK1	Inbred
1301	BGEM-0031-S	HN	sb2	BK1	Inbred
1302	MO17	HN	sb2	BK1	Inbred
1303	BGEM-0076-S	HN	sb2	BK1	Inbred
1304	BGEM-0301-S	HN	sb2	BK1	Inbred
1305	BGEM-0209-N	HN	sb2	BK1	Inbred
1306	BGEM-0018-S	HN	sb2	BK1	Inbred
1307	BGEM-0215-N	HN	sb2	BK1	Inbred
1308	BGEM-0081-S	HN	sb2	BK1	Inbred
1309	BGEM-0317-S	HN	sb2	BK1	Inbred
1310	B73	HN	sb2	BK1	Inbred
1311	BGEM-0251-S	HN	sb2	BK1	Inbred
1312	BGEM-0212-N	HN	sb2	BK1	Inbred
1313	BGEM-0001-N	HN	sb2	BK1	Inbred
1314	BGEM-0002-N	HN	sb2	BK1	Inbred
1315	BGEM-0126-N	HN	sb2	BK1	Inbred
1316	BGEM-0254-S	HN	sb2	BK1	Inbred
1317	BGEM-0105-N	HN	sb2	BK1	Inbred
1318	MO17	HN	sb2	BK1	Inbred
1319	BGEM-0248-N	HN	sb2	BK1	Inbred
1320	BGEM-0044-S	HN	sb2	BK1	Inbred
1321	BGEM-0005-N	HN	sb2	BK1	Inbred
1322	BGEM-0006-S	HN	sb2	BK1	Inbred
1323	BGEM-0133-S	HN	sb2	BK1	Inbred
1324	BGEM-0098-S	HN	sb2	BK1	Inbred
1325	B73	HN	sb2	BK1	Inbred
1326	MO17	HN	sb4	BK1	Inbred
1327	BGEM-0218-S	HN	sb4	BK1	Inbred
1328	BGEM-0163-S	HN	sb4	BK1	Inbred
1329	BGEM-0247-N	HN	sb4	BK1	Inbred
1330	BGEM-0287-N	HN	sb4	BK1	Inbred
1331	BGEM-0059-S	HN	sb4	BK1	Inbred
1332	BGEM-0173-S	HN	sb4	BK1	Inbred
1333	BGEM-0108-S	HN	sb4	BK1	Inbred
1334	B73	HN	sb4	BK1	Inbred
1335	BGEM-0297-N	HN	sb4	BK1	Inbred
1336	BGEM-0185-N	HN	sb4	BK1	Inbred
1337	BGEM-0157-N	HN	sb4	BK1	Inbred
1338	BGEM-0322-S	HN	sb4	BK1	Inbred
1339	BGEM-0100-S	HN	sb4	BK1	Inbred
1340	BGEM-0090-N	HN	sb4	BK1	Inbred
1341	BGEM-0034-S	HN	sb4	BK1	Inbred
1342	MO17	HN	sb4	BK1	Inbred
1343	BGEM-0097-S	HN	sb4	BK1	Inbred
1344	BGEM-0285-N	HN	sb4	BK1	Inbred
1345	BGEM-0216-N	HN	sb4	BK1	Inbred
1346	BGEM-0316-S	HN	sb4	BK1	Inbred
1347	BGEM-0153-S	HN	sb4	BK1	Inbred
1348	BGEM-0186-S	HN	sb4	BK1	Inbred
1349	BGEM-0042-S	HN	sb4	BK1	Inbred
1350	B73	HN	sb4	BK1	Inbred
1351	B73 X MO17	HN	sb1	BK1	Hybrid
1352	B73 X MO17	HN	sb1	BK1	Hybrid
1353	B73 X MO17	HN	sb1	BK1	Hybrid
1354	B73 X MO17	HN	sb1	BK1	Hybrid
1355	BGEM-0143-N X B73	HN	sb1	BK1	Hybrid
1356	BGEM-0242-N X B73	HN	sb1	BK1	Hybrid
1357	BGEM-0039-N X B73	HN	sb1	BK1	Hybrid
1358	PHJ40 X PHW52	HN	sb1	BK1	Hybrid
1359	BGEM-0201-N X B73	HN	sb1	BK1	Hybrid
1360	B73 X MO17	HN	sb1	BK1	Hybrid
1361	BGEM-0152-N X B73	HN	sb1	BK1	Hybrid
1362	BGEM-0125-N X B73	HN	sb1	BK1	Hybrid
1363	BGEM-0109-N X B73	HN	sb1	BK1	Hybrid
1364	BGEM-0205-N X B73	HN	sb1	BK1	Hybrid
1365	BGEM-0126-N X B73	HN	sb1	BK1	Hybrid
1366	B73 X MO17	HN	sb1	BK1	Hybrid
1367	BGEM-0107-N X B73	HN	sb1	BK1	Hybrid
1368	BGEM-0239-N X B73	HN	sb1	BK1	Hybrid
1369	BGEM-0123-N X B73	HN	sb1	BK1	Hybrid
1370	BGEM-0231-N X B73	HN	sb1	BK1	Hybrid
1371	BGEM-0194-N X B73	HN	sb1	BK1	Hybrid
1372	B73 X MO17	HN	sb1	BK1	Hybrid
1373	BGEM-0086-N X B73	HN	sb1	BK1	Hybrid
1374	BGEM-0091-N X B73	HN	sb1	BK1	Hybrid
1375	BGEM-0215-N X B73	HN	sb1	BK1	Hybrid
1376	BGEM-0131-N X B73	HN	sb3	BK1	Hybrid
1377	BGEM-0124-N X B73	HN	sb3	BK1	Hybrid
1378	B73 X MO17	HN	sb3	BK1	Hybrid
1379	BGEM-0130-N X B73	HN	sb3	BK1	Hybrid
1380	BGEM-0089-N X B73	HN	sb3	BK1	Hybrid
1381	BGEM-0230-N X B73	HN	sb3	BK1	Hybrid
1382	BGEM-0058-N X B73	HN	sb3	BK1	Hybrid
1383	BGEM-0207-N X B73	HN	sb3	BK1	Hybrid
1384	B73 X MO17	HN	sb3	BK1	Hybrid
1385	BGEM-0085-N X B73	HN	sb3	BK1	Hybrid
1386	BGEM-0005-N X B73	HN	sb3	BK1	Hybrid
1387	BGEM-0191-N X B73	HN	sb3	BK1	Hybrid
1388	BGEM-0141-N X B73	HN	sb3	BK1	Hybrid
1389	BGEM-0140-N X B73	HN	sb3	BK1	Hybrid
1390	B73 X MO17	HN	sb3	BK1	Hybrid
1391	BGEM-0087-N X B73	HN	sb3	BK1	Hybrid
1392	BGEM-0151-N X B73	HN	sb3	BK1	Hybrid
1393	BGEM-0249-N X B73	HN	sb3	BK1	Hybrid
1394	BGEM-0223-N X B73	HN	sb3	BK1	Hybrid
1395	BGEM-0004-N X B73	HN	sb3	BK1	Hybrid
1396	B73 X MO17	HN	sb3	BK1	Hybrid
1397	BGEM-0063-N X B73	HN	sb3	BK1	Hybrid
1398	MO17	HN	sb3	BK1	Hybrid
1399	BGEM-0237-N X B73	HN	sb3	BK1	Hybrid
1400	BGEM-0064-N X B73	HN	sb3	BK1	Hybrid
1401	BGEM-0144-N X B73	HN	sb1	BK1	Hybrid
1402	B73 X MO17	HN	sb1	BK1	Hybrid
1403	BGEM-0216-N X B73	HN	sb1	BK1	Hybrid
1404	BGEM-0182-N X B73	HN	sb1	BK1	Hybrid
1405	BGEM-0238-N X B73	HN	sb1	BK1	Hybrid
1406	BGEM-0003-N X B73	HN	sb1	BK1	Hybrid
1407	BGEM-0224-N X B73	HN	sb1	BK1	Hybrid
1408	B73 X MO17	HN	sb1	BK1	Hybrid
1409	BGEM-0127-N X B73	HN	sb1	BK1	Hybrid
1410	BGEM-0061-N X B73	HN	sb1	BK1	Hybrid
1411	BGEM-0196-N X B73	HN	sb1	BK1	Hybrid
1412	BGEM-0040-N X B73	HN	sb1	BK1	Hybrid
1413	BGEM-0185-N X B73	HN	sb1	BK1	Hybrid
1414	B73 X MO17	HN	sb1	BK1	Hybrid
1415	BGEM-0202-N X B73	HN	sb1	BK1	Hybrid
1416	BGEM-0046-N X B73	HN	sb1	BK1	Hybrid
1417	BGEM-0145-N X B73	HN	sb1	BK1	Hybrid
1418	BGEM-0228-N X B73	HN	sb1	BK1	Hybrid
1419	BGEM-0102-N X B73	HN	sb1	BK1	Hybrid
1420	B73 X MO17	HN	sb1	BK1	Hybrid
1421	BGEM-0235-N X B73	HN	sb1	BK1	Hybrid
1422	BGEM-0227-N X B73	HN	sb1	BK1	Hybrid
1423	BGEM-0174-N X B73	HN	sb1	BK1	Hybrid
1424	BGEM-0211-N X B73	HN	sb1	BK1	Hybrid
1425	BGEM-0229-N X B73	HN	sb1	BK1	Hybrid
1426	B73 X MO17	HN	sb3	BK1	Hybrid
1427	BGEM-0038-N X B73	HN	sb3	BK1	Hybrid
1428	BGEM-0183-N X B73	HN	sb3	BK1	Hybrid
1429	BGEM-0256-N X B73	HN	sb3	BK1	Hybrid
1430	B73	HN	sb3	BK1	Hybrid
1431	BGEM-0210-N X B73	HN	sb3	BK1	Hybrid
1432	B73 X MO17	HN	sb3	BK1	Hybrid
1433	BGEM-0088-N X B73	HN	sb3	BK1	Hybrid
1434	BGEM-0002-N X B73	HN	sb3	BK1	Hybrid
1435	BGEM-0181-N X B73	HN	sb3	BK1	Hybrid
1436	BGEM-0122-N X B73	HN	sb3	BK1	Hybrid
1437	BGEM-0184-N X B73	HN	sb3	BK1	Hybrid
1438	B73 X MO17	HN	sb3	BK1	Hybrid
1439	BGEM-0110-N X B73	HN	sb3	BK1	Hybrid
1440	BGEM-0062-N X B73	HN	sb3	BK1	Hybrid
1441	BGEM-0103-N X B73	HN	sb3	BK1	Hybrid
1442	BGEM-0146-N X B73	HN	sb3	BK1	Hybrid
1443	BGEM-0129-N X B73	HN	sb3	BK1	Hybrid
1444	B73 X MO17	HN	sb3	BK1	Hybrid
1445	B73	HN	sb3	BK1	Hybrid
1446	BGEM-0105-N X B73	HN	sb3	BK1	Hybrid
1447	BGEM-0240-N X B73	HN	sb3	BK1	Hybrid
1448	BGEM-0209-N X B73	HN	sb3	BK1	Hybrid
1449	BGEM-0121-N X B73	HN	sb3	BK1	Hybrid
1450	B73 X MO17	HN	sb3	BK1	Hybrid
1451	BGEM-0045-N X B73	HN	sb1	BK1	Hybrid
1452	MO17	HN	sb1	BK1	Hybrid
1453	BGEM-0243-S X MO17	HN	sb1	BK1	Hybrid
1454	BGEM-0043-S X MO17	HN	sb1	BK1	Hybrid
1455	BGEM-0220-S X MO17	HN	sb1	BK1	Hybrid
1456	BGEM-0263-S X MO17	HN	sb1	BK1	Hybrid
1457	BGEM-0118-S X MO17	HN	sb1	BK1	Hybrid
1458	B73 X MO17	HN	sb1	BK1	Hybrid
1459	BGEM-0094-S X MO17	HN	sb1	BK1	Hybrid
1460	BGEM-0163-S X MO17	HN	sb1	BK1	Hybrid
1461	BGEM-0177-S X MO17	HN	sb1	BK1	Hybrid
1462	BGEM-0075-S X MO17	HN	sb1	BK1	Hybrid
1463	BGEM-0051-S X MO17	HN	sb2	BK1	Hybrid
1464	B73 X MO17	HN	sb2	BK1	Hybrid
1465	BGEM-0011-S X MO17	HN	sb2	BK1	Hybrid
1466	BGEM-0092-S X MO17	HN	sb2	BK1	Hybrid
1467	BGEM-0059-S X MO17	HN	sb2	BK1	Hybrid
1468	BGEM-0049-S X MO17	HN	sb2	BK1	Hybrid
1469	BGEM-0081-S X MO17	HN	sb2	BK1	Hybrid
1470	B73 X MO17	HN	sb2	BK1	Hybrid
1471	BGEM-0250-S X MO17	HN	sb2	BK1	Hybrid
1472	BGEM-0113-S X MO17	HN	sb2	BK1	Hybrid
1473	BGEM-0236-S X MO17	HN	sb2	BK1	Hybrid
1474	BGEM-0068-S X MO17	HN	sb2	BK1	Hybrid
1475	BGEM-0050-S X MO17	HN	sb2	BK1	Hybrid
1476	B73 X MO17	HN	sb3	BK1	Hybrid
1477	BGEM-0012-S X MO17	HN	sb3	BK1	Hybrid
1478	BGEM-0077-S X MO17	HN	sb3	BK1	Hybrid
1479	BGEM-0134-S X MO17	HN	sb3	BK1	Hybrid
