Trait	Heritability	pop	N
ASV_811	0.0415151990512455	Inbred	HN
ASV_2259	0.208377229960216	Inbred	HN
ASV_1232	0.00982889182737712	Inbred	HN
ASV_1473	0.00000000677318540100332	Inbred	HN
ASV_1482	0	Inbred	HN
ASV_115	0.000000106371963492261	Inbred	HN
ASV_2024	0	Inbred	HN
ASV_2105	0.00117036011210023	Inbred	HN
ASV_17	0.128117706067779	Inbred	HN
ASV_12	0.071196633116767	Inbred	HN
ASV_956	0.00000000800812159489541	Inbred	HN
ASV_778	0	Inbred	HN
ASV_1852	0.2868174177367	Inbred	HN
ASV_996	0	Inbred	HN
ASV_1318	0	Inbred	HN
ASV_754	0	Inbred	HN
ASV_1317	0.109969236602841	Inbred	HN
ASV_249	0	Inbred	HN
ASV_1857	0	Inbred	HN
ASV_455	0.000000000382179168714107	Inbred	HN
ASV_2204	0.00000385326820758335	Inbred	HN
ASV_1108	0	Inbred	HN
ASV_1175	0.0920660138738325	Inbred	HN
ASV_1681	0	Inbred	HN
ASV_900	0.000000000300454864008655	Inbred	HN
ASV_584	0.000000000336381144787715	Inbred	HN
ASV_2231	0	Inbred	HN
ASV_1898	0	Inbred	HN
ASV_702	0.149323897927036	Inbred	HN
ASV_1189	0.0900605991519653	Inbred	HN
ASV_1161	0.0636472475886188	Inbred	HN
ASV_94	0.030284757061096	Inbred	HN
ASV_967	0.131764566658625	Inbred	HN
ASV_185	0.0126383815465771	Inbred	HN
ASV_1875	0.0000000282103544882851	Inbred	HN
ASV_1057	0.210631783774717	Inbred	HN
ASV_1912	0	Inbred	HN
ASV_2033	0	Inbred	HN
ASV_946	0.0000000763804854992117	Inbred	HN
ASV_788	0.0683075360753382	Inbred	HN
ASV_1260	0	Inbred	HN
ASV_2460	0.00199497534697068	Inbred	HN
ASV_756	0.0104562997376542	Inbred	HN
ASV_2049	0	Inbred	HN
ASV_817	0.104770554814029	Inbred	HN
ASV_1737	0	Inbred	HN
ASV_1713	0.0554514108826154	Inbred	HN
ASV_1790	0	Inbred	HN
ASV_724	0	Inbred	HN
ASV_616	0	Inbred	HN
ASV_2491	0.0714491190508102	Inbred	HN
ASV_351	0.099985513453062	Inbred	HN
ASV_48	0	Inbred	HN
ASV_1047	0.101262420893704	Inbred	HN
ASV_1660	1.17913614240164e-16	Inbred	HN
ASV_1417	0	Inbred	HN
ASV_709	0	Inbred	HN
ASV_904	0.0381163693959018	Inbred	HN
ASV_2603	0	Inbred	HN
ASV_695	0.250992043335178	Inbred	HN
ASV_255	0.044099374093832	Inbred	HN
ASV_682	0.010236486254357	Inbred	HN
ASV_901	0.156139527861743	Inbred	HN
ASV_196	0.00000000144737274019924	Inbred	HN
ASV_1993	0.0378380938760333	Inbred	HN
ASV_410	0.0000000215250493872775	Inbred	HN
ASV_1729	6.1406122836623e-16	Inbred	HN
ASV_2079	0	Inbred	HN
ASV_183	0	Inbred	HN
ASV_452	0	Inbred	HN
ASV_1356	0.122775703651252	Inbred	HN
ASV_1376	0	Inbred	HN
ASV_595	0.000000863834115508938	Inbred	HN
ASV_1247	0	Inbred	HN
ASV_357	0.0000000019734427959943	Inbred	HN
ASV_1783	0	Inbred	HN
ASV_1649	0.0562431712973969	Inbred	HN
ASV_178	0.157724847293024	Inbred	HN
ASV_1069	0.0680976793111397	Inbred	HN
ASV_1419	0	Inbred	HN
ASV_373	0.224933738172096	Inbred	HN
ASV_849	0	Inbred	HN
ASV_1800	0	Inbred	HN
ASV_2005	0.0348279461773894	Inbred	HN
ASV_2074	0	Inbred	HN
ASV_518	0	Inbred	HN
ASV_1150	0	Inbred	HN
ASV_753	0	Inbred	HN
ASV_819	0.0100347955424402	Inbred	HN
ASV_211	0	Inbred	HN
ASV_1519	0	Inbred	HN
ASV_627	0.0171265258627261	Inbred	HN
ASV_897	0	Inbred	HN
ASV_984	0	Inbred	HN
ASV_1199	0	Inbred	HN
ASV_1796	0.0680612951750502	Inbred	HN
ASV_461	0.0427302578297586	Inbred	HN
ASV_2031	0	Inbred	HN
ASV_785	0	Inbred	HN
ASV_1487	0.28701016484269	Inbred	HN
ASV_1621	0.252024475919464	Inbred	HN
ASV_1266	0.0000125025243008741	Inbred	HN
ASV_633	0	Inbred	HN
ASV_372	0.000000028275211563444	Inbred	HN
ASV_1182	0	Inbred	HN
ASV_1227	0.110242905260335	Inbred	HN
ASV_399	0.085675893395558	Inbred	HN
ASV_728	0	Inbred	HN
ASV_1257	0	Inbred	HN
ASV_221	0.104484182028881	Inbred	HN
ASV_1499	0	Inbred	HN
ASV_238	0.131890776604147	Inbred	HN
ASV_2230	0.00197262099892991	Inbred	HN
ASV_181	0.040632297643259	Inbred	HN
ASV_980	0.00180531061118574	Inbred	HN
ASV_136	0	Inbred	HN
ASV_2268	0	Inbred	HN
ASV_603	0	Inbred	HN
ASV_67	0.210135577443395	Inbred	HN
ASV_797	0.0157884054173231	Inbred	HN
ASV_2042	0	Inbred	HN
ASV_1381	0	Inbred	HN
ASV_2880	0.00000000960513380819916	Inbred	HN
ASV_1891	0.00377247515050006	Inbred	HN
ASV_687	0.0291609042850234	Inbred	HN
ASV_2124	0	Inbred	HN
ASV_1246	0.294772023699148	Inbred	HN
ASV_862	0.0871627354827617	Inbred	HN
ASV_1202	0.122000198774342	Inbred	HN
ASV_1139	0.120123630901777	Inbred	HN
ASV_1558	0.122394554042798	Inbred	HN
ASV_2138	0	Inbred	HN
ASV_1735	0	Inbred	HN
ASV_1957	0.000070114670034277	Inbred	HN
ASV_2462	0	Inbred	HN
ASV_1188	0.000000000356049188036712	Inbred	HN
ASV_164	0.0659149042920385	Inbred	HN
ASV_2265	0	Inbred	HN
ASV_1225	0	Inbred	HN
ASV_323	0.0853106561081331	Inbred	HN
ASV_462	0	Inbred	HN
ASV_831	0	Inbred	HN
ASV_570	0	Inbred	HN
ASV_457	0.0549021876951818	Inbred	HN
ASV_1543	0.00970637600727959	Inbred	HN
ASV_575	0.00691594386462823	Inbred	HN
ASV_1996	0.139754762649161	Inbred	HN
ASV_2277	0.00000000027971317915232	Inbred	HN
ASV_2758	0.0293207610762738	Inbred	HN
ASV_1508	0.0401352353501896	Inbred	HN
ASV_1388	0.0179460655103751	Inbred	HN
ASV_1940	0	Inbred	HN
ASV_480	0.0407548854757219	Inbred	HN
ASV_329	0.0101598628236224	Inbred	HN
ASV_652	0.0445142700017538	Inbred	HN
ASV_1206	0.0700976064551418	Inbred	HN
ASV_1146	0.00000000386485864588663	Inbred	HN
ASV_2519	0	Inbred	HN
ASV_1662	0	Inbred	HN
ASV_1219	0.0000000023937182583533	Inbred	HN
ASV_469	0.202527185774534	Inbred	HN
ASV_172	0	Inbred	HN
ASV_1825	0	Inbred	HN
ASV_1459	0	Inbred	HN
ASV_2044	0.234159514574962	Inbred	HN
ASV_1235	0.078539394896559	Inbred	HN
ASV_1439	0.262542361659372	Inbred	HN
ASV_1777	0	Inbred	HN
ASV_429	0.0999234851441206	Inbred	HN
ASV_1444	0.00636192994626761	Inbred	HN
ASV_743	0.0182657974492728	Inbred	HN
ASV_661	0	Inbred	HN
ASV_847	0.136898783864602	Inbred	HN
ASV_1734	0.00375695312201132	Inbred	HN
ASV_322	0.00921566392902419	Inbred	HN
ASV_1010	0.00000000169262416622434	Inbred	HN
ASV_1966	0.00909634490115846	Inbred	HN
ASV_8	0	Inbred	HN
ASV_1103	0	Inbred	HN
ASV_564	0.00205206362153135	Inbred	HN
ASV_918	0.0153705174445542	Inbred	HN
ASV_1192	0.0430072736553416	Inbred	HN
ASV_1751	0.00000000313989863289457	Inbred	HN
ASV_890	0.02689598259561	Inbred	HN
ASV_1441	0	Inbred	HN
ASV_812	0	Inbred	HN
ASV_941	0.00255407907191497	Inbred	HN
ASV_262	0.0728368839202811	Inbred	HN
ASV_431	0	Inbred	HN
ASV_940	0	Inbred	HN
ASV_2080	0	Inbred	HN
ASV_1903	0.249975869028848	Inbred	HN
ASV_1070	0.00673635860667315	Inbred	HN
ASV_1526	0	Inbred	HN
ASV_2040	0	Inbred	HN
ASV_1799	0	Inbred	HN
ASV_53	0.0704241062409597	Inbred	HN
ASV_806	0	Inbred	HN
ASV_2549	0	Inbred	HN
ASV_1383	0.0752515737381557	Inbred	HN
ASV_334	0	Inbred	HN
ASV_1271	0	Inbred	HN
ASV_535	0	Inbred	HN
ASV_1687	0.10012136522552	Inbred	HN
ASV_1427	0.124127158917992	Inbred	HN
ASV_2583	0	Inbred	HN
ASV_2588	0.000000000722625867539901	Inbred	HN
ASV_27	0.108754634947557	Inbred	HN
ASV_2562	0	Inbred	HN
ASV_1776	0.0858543205724647	Inbred	HN
ASV_1438	0	Inbred	HN
ASV_294	0.000000000349716698383508	Inbred	HN
ASV_2473	0.0000000436614647989527	Inbred	HN
ASV_378	3.0137017865004e-16	Inbred	HN
ASV_2207	0	Inbred	HN
ASV_241	0	Inbred	HN
ASV_2252	0.00000000121322932844933	Inbred	HN
ASV_497	0	Inbred	HN
ASV_2403	0	Inbred	HN
ASV_516	0.0858031933329251	Inbred	HN
ASV_1072	0.174866965458072	Inbred	HN
ASV_1073	0.000000000849736741658288	Inbred	HN
ASV_1538	0	Inbred	HN
ASV_135	0.139481340281768	Inbred	HN
ASV_608	0	Inbred	HN
ASV_1794	0	Inbred	HN
ASV_2141	0	Inbred	HN
ASV_1421	0.00710573412991983	Inbred	HN
ASV_481	0.0240572630921453	Inbred	HN
ASV_688	0.00000000621254582350893	Inbred	HN
ASV_1642	0	Inbred	HN
ASV_1249	0.0000000556979468696109	Inbred	HN
ASV_437	0	Inbred	HN
ASV_1655	0.0948817830314495	Inbred	HN
ASV_512	0.0423533086832368	Inbred	HN
ASV_270	0.098134851864753	Inbred	HN
ASV_1461	0	Inbred	HN
ASV_1187	0.00166080158085403	Inbred	HN
ASV_841	0.0469255025464874	Inbred	HN
ASV_1818	0	Inbred	HN
ASV_1003	0.00813140862640992	Inbred	HN
ASV_58	0	Inbred	HN
ASV_771	0.0707333780801555	Inbred	HN
ASV_1181	0.00930762314000548	Inbred	HN
ASV_1118	0	Inbred	HN
ASV_35	0.0553266363513145	Inbred	HN
ASV_1605	0	Inbred	HN
ASV_1712	0	Inbred	HN
ASV_1322	0	Inbred	HN
ASV_1780	0	Inbred	HN
ASV_898	0.212729238023698	Inbred	HN
ASV_367	0	Inbred	HN
ASV_418	0	Inbred	HN
ASV_2662	0	Inbred	HN
ASV_168	0.0288560251204433	Inbred	HN
ASV_1773	0.288561592773865	Inbred	HN
ASV_321	0.0943961135532426	Inbred	HN
ASV_677	0	Inbred	HN
ASV_2001	0	Inbred	HN
ASV_426	0	Inbred	HN
ASV_1348	0	Inbred	HN
ASV_1031	0.0361066679069986	Inbred	HN
ASV_407	0.193059610108488	Inbred	HN
ASV_520	0.00168351907866782	Inbred	HN
ASV_774	0.017153101888967	Inbred	HN
ASV_1148	0.0732919240903102	Inbred	HN
ASV_2383	0	Inbred	HN
ASV_463	0	Inbred	HN
ASV_252	0.32748026945351	Inbred	HN
ASV_851	0	Inbred	HN
ASV_1925	0	Inbred	HN
ASV_1238	0.00000000474062997612219	Inbred	HN
ASV_604	0.195833940844219	Inbred	HN
ASV_265	0	Inbred	HN
ASV_1393	0	Inbred	HN
ASV_925	0.0124629998652298	Inbred	HN
ASV_1934	0	Inbred	HN
ASV_947	0	Inbred	HN
ASV_1938	0	Inbred	HN
ASV_1551	0	Inbred	HN
ASV_398	0	Inbred	HN
ASV_1426	0	Inbred	HN
ASV_2457	0	Inbred	HN
ASV_2061	0.00111132354863447	Inbred	HN
ASV_1850	0	Inbred	HN
ASV_1109	0.0193271292626867	Inbred	HN
ASV_713	0	Inbred	HN
ASV_1023	0	Inbred	HN
ASV_207	0.00961713643677106	Inbred	HN
ASV_593	0.105911342009235	Inbred	HN
ASV_260	0	Inbred	HN
ASV_1418	0	Inbred	HN
ASV_1097	0	Inbred	HN
ASV_732	0.0589441675928056	Inbred	HN
ASV_101	0	Inbred	HN
ASV_612	0	Inbred	HN
ASV_2437	0.327543477095131	Inbred	HN
ASV_365	0	Inbred	HN
ASV_1022	0.00397858125168625	Inbred	HN
